objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"111: Alarm dla Warszawy","113656","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31528826","5.55147","6.37075","1.6875","12489","298","thing","111: Alarm dla Warszawy","2","2","30","30","30","2013","2","2","10","No necessary in-game text","","","","","","standalone","","","","",""
"1902 Méliès","393456","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126889477","5.67981","7.09632","2.6667","6459","857","thing","1902 Méliès","2","4","60","60","45","2023","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","Looping Games","English; Spanish","2023","English/Spanish edition"
"1906 San Francisco","257668","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126817511","5.84338","7.20161","2.3611","4191","1009","thing","1906 San Francisco","1","4","60","60","45","2018","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"1920 Wall Street","226255","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126817520","5.77332","6.73688","2.2647","4933","1612","thing","1920 Wall Street","2","5","60","60","45","2017","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","Looping Games","English; Spanish","2017","English/Spanish edition"
"1923 Cotton Club","340790","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126889523","5.99374","7.44894","2.04","3099","1797","thing","1923 Cotton Club","2","4","60","60","45","2021","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Looping Games","English; Spanish","2021","English/Spanish edition"
"1980 Sixtina","421281","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126889500","5.61019","7.19224","2.1111","8512","550","thing","1980 Sixtina","2","4","45","45","45","2024","2,3,4","3,4","8+","","","","","","","standalone","","Looping Games","English; Spanish","2024","English/Spanish edition"
"1987 Channel Tunnel","279306","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","126817529","5.90469","7.30996","2.7059","3698","1604","thing","1987 Channel Tunnel","2","2","45","45","45","2019","2","2","10+","No necessary in-game text","","","","","","standalone","","Looping Games","English; Spanish","2019","English/Spanish edition"
"303","83092","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31528830","5.58473","6.39606","1.4828","9841","389","thing","303","2","2","15","15","15","2010","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"51st State","73369","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31395381","6.23292","6.79298","3.1008","2025","3750","thing","51st State","2","4","90","90","40","2010","2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"51st State: Ultimate Edition","357726","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","110437744","6.60223","8.14192","2.7458","0","4257","thing","51st State: Ultimate Edition","1","4","75","75","75","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640941","7.96089","8.08504","2.2253","21","174040","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders Duel: Agora","309116","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640945","7.25186","8.07507","2.878","0","21964","thing","7 Wonders Duel: Agora","2","2","30","30","30","2020","2","2","12+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders Duel: Agora – Tu Quoque Fili Promo Card","348601","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640951","5.53632","8.04889","3","0","459","thing","7 Wonders Duel: Agora – Tu Quoque Fili Promo Card","2","2","30","30","30","2021","2","2","12+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders Duel: Pantheon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640943","7.63112","7.99988","2.3147","0","48807","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders Duel: Statue of Liberty Promo Card","196339","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640949","5.9995","7.46898","2","0","4151","thing","7 Wonders Duel: Statue of Liberty Promo Card","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders Duel: The Messe Promo Card","186069","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97640946","6.23915","7.35226","2.2121","0","7078","thing","7 Wonders Duel: The Messe Promo Card","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Age of Innovation","383179","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","108845410","7.73354","8.52023","4.2615","60","9636","thing","Age of Innovation","1","5","200","200","40","2023","1,2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Agricola","31260","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31395350","7.73342","7.86392","3.6344","61","88475","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Agricola: All Creatures Big and Small – The Big Box","255262","0","0","0","1","0","0","0","0","0","0","0","3","English","","","","","125288147","6.49824","7.64186","2.3231","0","5257","thing","Agricola: All Creatures Big and Small – The Big Box","2","2","30","30","30","2018","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Lookout Games","English","2018","English second edition"
"Ahoy","359402","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110383327","6.43847","7.30202","2.8936","1422","6464","thing","Ahoy","2","4","75","75","45","2022","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Air, Land, and Sea: Critters at War","247367","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107248004","7.07188","7.45912","1.7126","414","19670","thing","Air, Land, & Sea","2","2","20","20","20","2021","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Arcane Wonders","English","2021","English edition"
"Alchemists","161970","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","113168727","7.40169","7.63859","3.9248","172","32518","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Alchemists: Publisher","174522","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","134210527","5.62042","7.63262","3.5714","0","1004","thing","Alchemists: Publisher","2","4","120","120","120","2015","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Alchemists: Ring of Favor","167849","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","134210523","5.70448","7.52441","3.6667","0","1925","thing","Alchemists: Ring of Favor","2","4","90","90","90","2014","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Alchemists: The King's Golem","204650","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","116784793","6.57296","8.36986","4.5512","0","7381","thing","Alchemists: The King's Golem","2","4","120","120","120","2016","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Alhambra Belgique Card Game","431","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","123253199","5.79201","6.42609","1.72","4697","2717","thing","Alhambra: The Card Game","2","6","45","45","45","2011","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","Queen Games","Dutch; English; French; German; Italian; Spanish","2011","Queen multilingual edition 2011"
"Alhambra: Family & Friends Compact Edition","433587","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","128188966","0","7.58333","2","0","84","thing","Alhambra: Family & Friends Compact Edition","2","6","60","60","45","2024","2,3,4","3","10+","","","","","","","standalone","","","","",""
"Alien Artifacts","181293","0","0","0","1","1","0","0","0","0","0","0","3","","","In shrink","","","94979602","6.06813","6.54155","2.8857","2726","5392","thing","Alien Artifacts","2","5","60","60","60","2017","2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Alien Artifacts: Discovery","238388","0","0","0","1","1","0","0","0","0","0","0","3","","","In shrink","","","94979608","5.62858","7.00949","3","0","1426","thing","Alien Artifacts: Discovery","2","5","90","90","60","2018","3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Altay: Dawn of Civilization","334537","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","125610347","5.74937","6.82406","2.2","5227","790","thing","Altay: Dawn of Civilization","2","4","90","90","45","2024","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Among Cultists: A Social Deduction Thriller","277670","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","111076915","5.85455","7.1011","2.4082","4082","2155","thing","Among Cultists: A Social Deduction Thriller","4","8","90","90","45","2023","4,5,6,7,8","5,6,7,8","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Amun-Re: 20th Anniversary Edition","354568","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","124426488","6.01591","7.49244","2.9615","2970","2094","thing","Amun-Re: 20th Anniversary Edition","2","5","90","90","90","2023","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Amun-Re: 20th Anniversary Edition","354568","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124947263","6.01591","7.49244","2.9615","2970","2094","thing","Amun-Re: 20th Anniversary Edition","2","5","90","90","90","2023","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","Alley Cat Games","English","2023","Expanded edition"
"Andromeda's Edge","358661","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","126497428","7.28273","8.33512","3.7185","242","8294","thing","Andromeda's Edge","2","4","160","160","80","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Anno 1800: The Board Game","311193","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","108472770","7.20233","7.70056","3.1242","294","12515","thing","Anno 1800: The Board Game","1","4","120","120","120","2020","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Apiary","400314","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","125311608","7.17726","7.73272","3","315","12946","thing","Apiary","1","5","90","90","60","2023","1,2,3,4,5","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"AquaSphere","159508","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31395519","6.8374","7.2517","3.6723","695","10899","thing","AquaSphere","2","4","100","100","100","2014","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Architects of the West Kingdom","236457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641216","7.52064","7.71494","2.7564","122","42975","thing","Architects of the West Kingdom","1","5","80","80","60","2018","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Architects of the West Kingdom: Age of Artisans","285235","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641224","6.85436","8.05579","2.8696","0","11897","thing","Architects of the West Kingdom: Age of Artisans","1","6","80","80","60","2020","1,2,3,4,5,6","4","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Crossover Promo Pack","343489","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641264","5.65715","7.86","2.75","0","1851","thing","Architects of the West Kingdom: Crossover Promo Pack","1","6","80","80","60","2022","2,3,4,5","3","","No necessary in-game text","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Dice Tower 2020 Pack","298909","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641257","5.604","7.79739","2","0","1000","thing","Architects of the West Kingdom: Dice Tower 2020 Pack","1","5","80","80","60","2020","","","","","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Extra Apprentices","248492","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641241","5.85981","7.71879","2.4615","0","2944","thing","Architects of the West Kingdom: Extra Apprentices","1","5","80","80","60","2018","3,4,5","4,5","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Extra Buildings","248491","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641244","5.85361","7.74407","2.4167","0","2952","thing","Architects of the West Kingdom: Extra Buildings","1","5","80","80","60","2018","2,3,4,5","4","10","No necessary in-game text","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Extra Player Boards","248493","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641233","5.94288","7.88963","2.4375","0","3260","thing","Architects of the West Kingdom: Extra Player Boards","1","5","80","80","60","2018","3,4,5","4","10","No necessary in-game text","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Garphill Games 5-Year Anniversary Promo Cards","274418","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641247","5.63709","7.86959","2","0","987","thing","Architects of the West Kingdom: Garphill Games 5-Year Anniversary Promo Cards","1","5","80","80","60","2019","3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Architects of the West Kingdom: King Dan","304625","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641281","5.57026","7.74671","2","0","601","thing","Architects of the West Kingdom: King Dan","1","5","80","80","60","2020","","","","","","","","","","expansion","","","","",""
"Architects of the West Kingdom: King's Table Top","289464","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641267","5.58629","7.81868","1.5","0","684","thing","Architects of the West Kingdom: King's Table Top","1","5","80","80","60","2019","","","","","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Paladins Apprentices","274783","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641255","5.67225","7.69869","2.5","0","1471","thing","Architects of the West Kingdom: Paladins Apprentices","1","5","80","80","60","2019","","","","","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Promo Paradise Card Set","286548","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641258","5.6056","7.84554","2","0","896","thing","Architects of the West Kingdom: Promo Paradise Card Set","1","5","80","80","60","2019","3,4,5","3","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Racketeer","295038","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641260","5.58984","7.65534","3","0","776","thing","Architects of the West Kingdom: Racketeer","1","5","80","80","60","2020","3,4","3","12+","","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Suzerain","330371","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641283","5.57078","7.5006","2","0","681","thing","Architects of the West Kingdom: Suzerain","1","6","80","80","60","2021","","","","","","","","","","expansion","","","","",""
"Architects of the West Kingdom: Works of Wonder","327245","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","97641231","6.31806","8.01609","3.2903","0","7462","thing","Architects of the West Kingdom: Works of Wonder","1","5","80","80","60","2022","1,2,3,4,5","4","12+","No necessary in-game text","","","","","","expansion","","","","",""
"Arcs","359871","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125239744","7.55086","8.07381","3.4202","113","20459","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Arcs: Leaders & Lore Pack","419279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125270645","6.40124","8.56","3.2143","0","7995","thing","Arcs: Leaders & Lore Pack","2","4","120","120","60","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Arcs: The Blighted Reach Expansion","363757","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","125239773","6.70341","8.89013","4.464","0","6708","thing","Arcs: The Blighted Reach Expansion","2","4","0","0","0","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Ark Nova","342942","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","98926709","8.3505","8.5385","3.7864","3","79070","thing","Ark Nova","1","4","150","150","90","2021","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Ark Nova: Marine Worlds","368966","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","124371683","7.93146","8.91644","3.8264","0","23567","thing","Ark Nova: Marine Worlds","1","4","150","150","90","2023","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
